departure,arrival,flight_number,departure_time,arrival_time,remarks,period
FUK,HND,JAL 310,11:00,12:40,,20260106_20260228
FUK,HND,JAL 312,12:00,13:40,,20260106_20260228
FUK,HND,JAL 314,13:00,14:40,,20260106_20260228
FUK,HND,JAL 316,13:55,15:30,,20260106_20260228
FUK,HND,JAL 318,14:55,16:35,,20260106_20260228
FUK,HND,JAL 320,15:55,17:35,,20260106_20260228
FUK,HND,JAL 322,16:45,18:20,,20260106_20260228
FUK,HND,JAL 324,17:20,19:00,,20260106_20260228
FUK,HND,JAL 326,18:15,19:50,,20260106_20260228
FUK,HND,JAL 328,18:55,20:30,,20260106_20260228
FUK,HND,JAL 330,20:00,21:35,,20260106_20260228
FUK,HND,JAL 332,21:10,22:40,,20260106_20260228
FUK,HND,JAL 302,07:25,09:00,,20260301_20260328
FUK,HND,JAL 304,08:25,10:00,,20260301_20260328
FUK,HND,JAL 306,09:25,11:00,,20260301_20260328
FUK,HND,JAL 308,10:00,11:35,,20260301_20260328
FUK,HND,JAL 310,11:00,12:40,,20260301_20260328
FUK,HND,JAL 312,12:00,13:40,,20260301_20260328
FUK,HND,JAL 314,13:00,14:40,,20260301_20260328
FUK,HND,JAL 316,14:00,15:40,,20260301_20260328
FUK,HND,JAL 318,14:45,16:30,3月1～12日5分遅発,20260301_20260328
FUK,HND,JAL 320,15:55,17:35,,20260301_20260328
FUK,HND,JAL 322,16:50,18:30,,20260301_20260328
FUK,HND,JAL 324,17:15,19:00,,20260301_20260328
FUK,HND,JAL 326,18:10,19:50,,20260301_20260328
FUK,HND,JAL 328,18:55,20:35,,20260301_20260328
FUK,HND,JAL 330,20:05,21:45,,20260301_20260328
FUK,HND,JAL 332,21:05,22:40,,20260301_20260328
FUK,OKA,JTA 053,09:30,11:20,12月1～25日・1月5日5分遅着12月26日～1月4日5分遅発10分遅着,20251026_20260105
FUK,OKA,JTA 2055,10:55,12:45,12月26日～1月4日運航,20251026_20260105
FUK,OKA,JTA 057,13:00,14:55,12月1日～1月5日5分遅着,20251026_20260105
FUK,OKA,JTA 061,15:45,17:30,12月1～25日・1月5日5分遅着12月26日～1月4日5分早発(到着は同時刻),20251026_20260105
FUK,OKA,JTA 063,17:30,19:15,12月1日～1月5日5分遅発10分遅着,20251026_20260105
FUK,OKA,JTA 2063,19:45,21:35,12月26日～1月4日運休,20251026_20260105
